date,value,drought_score
20150309,0.81,-0.11399538320878165
20150310,1.91,0.1429955811943974
20150311,0.08,-0.2845439323127096
20150312,0.05,-0.29155277679643266
20150313,0.0,-0.30323418426930443
20150314,0.3,-0.23314573943207378
20150315,0.02,-0.29856162128015573
20150316,1.2,-0.022880404920381826
20150317,2.88,0.36961488616810984
20150318,3.95,0.619597006087566
20150319,0.5,-0.1864201095405867
20150320,3.13,0.4280219235324687
20150321,9.42,1.8975429836197382
20150322,3.53,0.5214731833154429
20150323,78.06,17.933779162378112
20150324,1.28,-0.004190152963786968
20150325,4.26,0.6920217324193708
20150326,0.08,-0.2845439323127096
20150327,7.15,1.3672070843513595
20150328,4.11,0.6569775100007557
20150329,10.84,2.2292949558492965
20150330,1.34,0.009827536003659177
20150331,1.34,0.009827536003659177
20150401,1.04,-0.06026090883357149
20150402,1.97,0.15701327016184352
20150403,2.22,0.21542030752620245
20150404,1.11,-0.04390693837155099
20150405,0.65,-0.15137588712197134
20150406,1.24,-0.013535278942084396
20150407,2.38,0.2528008114393921
20150408,10.77,2.212940985387276
20150409,2.83,0.3579334786952381
20150410,4.05,0.6429598210333094
20150411,0.17,-0.2635173988615404
20150412,0.0,-0.30323418426930443
20150413,0.0,-0.30323418426930443
20150414,0.0,-0.30323418426930443
20150415,0.0,-0.30323418426930443
20150416,0.0,-0.30323418426930443
20150417,0.0,-0.30323418426930443
20150418,0.0,-0.30323418426930443
20150419,0.0,-0.30323418426930443
20150420,0.0,-0.30323418426930443
20150421,0.0,-0.30323418426930443
20150422,0.0,-0.30323418426930443
20150423,0.0,-0.30323418426930443
20150424,0.0,-0.30323418426930443
20150425,0.0,-0.30323418426930443
20150426,0.03,-0.29622533978558135
20150427,0.01,-0.3008979027747301
20150428,0.0,-0.30323418426930443
20150429,0.0,-0.30323418426930443
20150430,0.12,-0.2751988063344121
20150501,5.73,1.0354551121218012
20150502,1.52,0.05188060290599755
20150503,0.01,-0.3008979027747301
20150504,0.0,-0.30323418426930443
20150505,0.0,-0.30323418426930443
20150506,0.0,-0.30323418426930443
20150507,0.0,-0.30323418426930443
20150508,0.0,-0.30323418426930443
20150509,0.0,-0.30323418426930443
20150510,0.0,-0.30323418426930443
20150511,0.0,-0.30323418426930443
20150512,0.0,-0.30323418426930443
20150513,0.0,-0.30323418426930443
20150514,0.0,-0.30323418426930443
20150515,0.0,-0.30323418426930443
20150516,0.0,-0.30323418426930443
20150517,0.0,-0.30323418426930443
20150518,0.0,-0.30323418426930443
20150519,0.0,-0.30323418426930443
20150520,0.0,-0.30323418426930443
20150521,0.0,-0.30323418426930443
20150522,0.0,-0.30323418426930443
20150523,0.0,-0.30323418426930443
20150524,0.0,-0.30323418426930443
20150525,0.0,-0.30323418426930443
20150526,0.0,-0.30323418426930443
20150527,0.0,-0.30323418426930443
20150528,0.0,-0.30323418426930443
20150529,0.0,-0.30323418426930443
20150530,0.0,-0.30323418426930443
20150531,0.0,-0.30323418426930443
20150601,0.0,-0.30323418426930443
20150602,0.79,-0.11866794619793038
20150603,0.0,-0.30323418426930443
20150604,1.05,-0.057924627338997135
20150605,0.0,-0.30323418426930443
20150606,0.0,-0.30323418426930443
20150607,0.0,-0.30323418426930443
20150608,0.0,-0.30323418426930443
20150609,0.0,-0.30323418426930443
20150610,0.0,-0.30323418426930443
20150611,0.0,-0.30323418426930443
20150612,0.0,-0.30323418426930443
20150613,0.0,-0.30323418426930443
20150614,0.0,-0.30323418426930443
20150615,0.0,-0.30323418426930443
20150616,0.0,-0.30323418426930443
20150617,0.0,-0.30323418426930443
20150618,0.0,-0.30323418426930443
20150619,0.0,-0.30323418426930443
20150620,0.0,-0.30323418426930443
20150621,0.0,-0.30323418426930443
20150622,0.0,-0.30323418426930443
20150623,0.0,-0.30323418426930443
20150624,0.0,-0.30323418426930443
20150625,0.0,-0.30323418426930443
20150626,0.0,-0.30323418426930443
20150627,0.0,-0.30323418426930443
20150628,0.0,-0.30323418426930443
20150629,0.0,-0.30323418426930443
20150630,0.0,-0.30323418426930443
20150701,0.0,-0.30323418426930443
20150702,0.0,-0.30323418426930443
20150703,0.0,-0.30323418426930443
20150704,0.0,-0.30323418426930443
20150705,0.0,-0.30323418426930443
20150706,0.0,-0.30323418426930443
20150707,0.0,-0.30323418426930443
20150708,0.0,-0.30323418426930443
20150709,0.0,-0.30323418426930443
20150710,0.0,-0.30323418426930443
20150711,0.0,-0.30323418426930443
20150712,0.0,-0.30323418426930443
20150713,0.0,-0.30323418426930443
20150714,0.0,-0.30323418426930443
20150715,0.0,-0.30323418426930443
20150716,0.0,-0.30323418426930443
20150717,0.0,-0.30323418426930443
20150718,0.0,-0.30323418426930443
20150719,0.0,-0.30323418426930443
20150720,0.0,-0.30323418426930443
20150721,0.0,-0.30323418426930443
20150722,0.0,-0.30323418426930443
20150723,0.0,-0.30323418426930443
20150724,0.0,-0.30323418426930443
20150725,0.0,-0.30323418426930443
20150726,0.0,-0.30323418426930443
20150727,0.0,-0.30323418426930443
20150728,0.0,-0.30323418426930443
20150729,0.0,-0.30323418426930443
20150730,0.0,-0.30323418426930443
20150731,0.0,-0.30323418426930443
20150801,0.0,-0.30323418426930443
20150802,0.0,-0.30323418426930443
20150803,0.0,-0.30323418426930443
20150804,0.0,-0.30323418426930443
20150805,0.0,-0.30323418426930443
20150806,0.0,-0.30323418426930443
20150807,0.0,-0.30323418426930443
20150808,0.0,-0.30323418426930443
20150809,0.0,-0.30323418426930443
20150810,0.0,-0.30323418426930443
20150811,0.0,-0.30323418426930443
20150812,0.0,-0.30323418426930443
20150813,0.0,-0.30323418426930443
20150814,0.0,-0.30323418426930443
20150815,0.0,-0.30323418426930443
20150816,0.0,-0.30323418426930443
20150817,0.0,-0.30323418426930443
20150818,0.0,-0.30323418426930443
20150819,0.0,-0.30323418426930443
20150820,0.0,-0.30323418426930443
20150821,0.0,-0.30323418426930443
20150822,0.0,-0.30323418426930443
20150823,0.02,-0.29856162128015573
20150824,0.14,-0.27052624334526343
20150825,0.2,-0.25650855437781733
20150826,0.01,-0.3008979027747301
20150827,0.0,-0.30323418426930443
20150828,0.0,-0.30323418426930443
20150829,0.0,-0.30323418426930443
20150830,0.0,-0.30323418426930443
20150831,0.0,-0.30323418426930443
20150901,0.0,-0.30323418426930443
20150902,0.0,-0.30323418426930443
20150903,0.0,-0.30323418426930443
20150904,0.0,-0.30323418426930443
20150905,0.0,-0.30323418426930443
20150906,0.0,-0.30323418426930443
20150907,0.0,-0.30323418426930443
20150908,0.0,-0.30323418426930443
20150909,0.0,-0.30323418426930443
20150910,0.0,-0.30323418426930443
20150911,0.0,-0.30323418426930443
20150912,0.0,-0.30323418426930443
20150913,0.0,-0.30323418426930443
20150914,0.0,-0.30323418426930443
20150915,0.0,-0.30323418426930443
20150916,0.0,-0.30323418426930443
20150917,0.0,-0.30323418426930443
20150918,0.0,-0.30323418426930443
20150919,0.0,-0.30323418426930443
20150920,0.0,-0.30323418426930443
20150921,0.0,-0.30323418426930443
20150922,0.0,-0.30323418426930443
20150923,0.0,-0.30323418426930443
20150924,0.0,-0.30323418426930443
20150925,0.0,-0.30323418426930443
20150926,0.01,-0.3008979027747301
20150927,0.0,-0.30323418426930443
20150928,0.0,-0.30323418426930443
20150929,0.0,-0.30323418426930443
20150930,0.0,-0.30323418426930443
20151001,0.0,-0.30323418426930443
20151002,0.0,-0.30323418426930443
20151003,0.0,-0.30323418426930443
20151004,0.01,-0.3008979027747301
20151005,0.93,-0.08596000527388939
20151006,0.11,-0.2775350878289865
20151007,0.0,-0.30323418426930443
20151008,0.0,-0.30323418426930443
20151009,0.0,-0.30323418426930443
20151010,0.0,-0.30323418426930443
20151011,0.0,-0.30323418426930443
20151012,0.0,-0.30323418426930443
20151013,0.0,-0.30323418426930443
20151014,0.0,-0.30323418426930443
20151015,0.0,-0.30323418426930443
20151016,0.0,-0.30323418426930443
20151017,0.0,-0.30323418426930443
20151018,0.0,-0.30323418426930443
20151019,0.21,-0.254172272883243
20151020,0.38,-0.21445548747547893
20151021,0.0,-0.30323418426930443
20151022,0.0,-0.30323418426930443
20151023,0.0,-0.30323418426930443
20151024,0.0,-0.30323418426930443
