date,indicator,value,source,category,year,month,quarter
2000-03-25,DROUGHT_SCORE,0.7971543996752168,Derived,Climate,2000,3,1
2000-03-25,RAINFALL,4.71,NASA,Climate,2000,3,1
2000-03-25,TEMPERATURE,18.82,NASA,Climate,2000,3,1
2000-03-26,DROUGHT_SCORE,0.4443758939944893,Derived,Climate,2000,3,1
2000-03-26,RAINFALL,3.2,NASA,Climate,2000,3,1
2000-03-26,TEMPERATURE,19.59,NASA,Climate,2000,3,1
2000-03-27,DROUGHT_SCORE,0.9513489783171244,Derived,Climate,2000,3,1
2000-03-27,RAINFALL,5.37,NASA,Climate,2000,3,1
2000-03-27,TEMPERATURE,19.62,NASA,Climate,2000,3,1
2000-03-28,DROUGHT_SCORE,0.8929419409527655,Derived,Climate,2000,3,1
2000-03-28,RAINFALL,5.12,NASA,Climate,2000,3,1
2000-03-28,TEMPERATURE,19.35,NASA,Climate,2000,3,1
2000-03-29,DROUGHT_SCORE,-0.0041901529637869,Derived,Climate,2000,3,1
2000-03-29,RAINFALL,1.28,NASA,Climate,2000,3,1
2000-03-29,TEMPERATURE,19.73,NASA,Climate,2000,3,1
2000-03-30,DROUGHT_SCORE,-0.2518359913886686,Derived,Climate,2000,3,1
2000-03-30,RAINFALL,0.22,NASA,Climate,2000,3,1
2000-03-30,TEMPERATURE,20.65,NASA,Climate,2000,3,1
2000-03-31,DROUGHT_SCORE,-0.1069865387250586,Derived,Climate,2000,3,1
2000-03-31,RAINFALL,0.84,NASA,Climate,2000,3,1
2000-03-31,TEMPERATURE,21.55,NASA,Climate,2000,3,1
2000-04-01,DROUGHT_SCORE,0.0542168844005719,Derived,Climate,2000,4,2
2000-04-01,RAINFALL,1.53,NASA,Climate,2000,4,2
2000-04-01,TEMPERATURE,20.83,NASA,Climate,2000,4,2
2000-04-02,DROUGHT_SCORE,0.3369069452440689,Derived,Climate,2000,4,2
2000-04-02,RAINFALL,2.74,NASA,Climate,2000,4,2
2000-04-02,TEMPERATURE,20.61,NASA,Climate,2000,4,2
2000-04-03,DROUGHT_SCORE,0.2294379964936485,Derived,Climate,2000,4,2
2000-04-03,RAINFALL,2.28,NASA,Climate,2000,4,2
2000-04-03,TEMPERATURE,20.4,NASA,Climate,2000,4,2
2000-04-04,DROUGHT_SCORE,-0.2401545839157968,Derived,Climate,2000,4,2
2000-04-04,RAINFALL,0.27,NASA,Climate,2000,4,2
2000-04-04,TEMPERATURE,19.51,NASA,Climate,2000,4,2
2000-04-05,DROUGHT_SCORE,-0.3032341842693044,Derived,Climate,2000,4,2
2000-04-05,RAINFALL,0.0,NASA,Climate,2000,4,2
2000-04-05,TEMPERATURE,16.56,NASA,Climate,2000,4,2
2000-04-06,DROUGHT_SCORE,-0.3032341842693044,Derived,Climate,2000,4,2
2000-04-06,RAINFALL,0.0,NASA,Climate,2000,4,2
2000-04-06,TEMPERATURE,16.67,NASA,Climate,2000,4,2
2000-04-07,DROUGHT_SCORE,-0.3032341842693044,Derived,Climate,2000,4,2
2000-04-07,RAINFALL,0.0,NASA,Climate,2000,4,2
2000-04-07,TEMPERATURE,16.84,NASA,Climate,2000,4,2
2000-04-08,DROUGHT_SCORE,-0.3032341842693044,Derived,Climate,2000,4,2
2000-04-08,RAINFALL,0.0,NASA,Climate,2000,4,2
2000-04-08,TEMPERATURE,17.94,NASA,Climate,2000,4,2
2000-04-09,DROUGHT_SCORE,-0.3032341842693044,Derived,Climate,2000,4,2
2000-04-09,RAINFALL,0.0,NASA,Climate,2000,4,2
2000-04-09,TEMPERATURE,18.69,NASA,Climate,2000,4,2
2000-04-10,DROUGHT_SCORE,-0.3032341842693044,Derived,Climate,2000,4,2
2000-04-10,RAINFALL,0.0,NASA,Climate,2000,4,2
2000-04-10,TEMPERATURE,19.56,NASA,Climate,2000,4,2
2000-04-11,DROUGHT_SCORE,0.1243053292378025,Derived,Climate,2000,4,2
2000-04-11,RAINFALL,1.83,NASA,Climate,2000,4,2
2000-04-11,TEMPERATURE,18.76,NASA,Climate,2000,4,2
2000-04-12,DROUGHT_SCORE,-0.2728625248398378,Derived,Climate,2000,4,2
2000-04-12,RAINFALL,0.13,NASA,Climate,2000,4,2
2000-04-12,TEMPERATURE,19.0,NASA,Climate,2000,4,2
2000-04-13,DROUGHT_SCORE,-0.2962253397855813,Derived,Climate,2000,4,2
2000-04-13,RAINFALL,0.03,NASA,Climate,2000,4,2
2000-04-13,TEMPERATURE,19.87,NASA,Climate,2000,4,2
2000-04-14,DROUGHT_SCORE,0.2014026185587563,Derived,Climate,2000,4,2
2000-04-14,RAINFALL,2.16,NASA,Climate,2000,4,2
2000-04-14,TEMPERATURE,19.17,NASA,Climate,2000,4,2
2000-04-15,DROUGHT_SCORE,-0.0719423163064432,Derived,Climate,2000,4,2
2000-04-15,RAINFALL,0.99,NASA,Climate,2000,4,2
2000-04-15,TEMPERATURE,18.57,NASA,Climate,2000,4,2
2000-04-16,DROUGHT_SCORE,-0.1420307611436739,Derived,Climate,2000,4,2
2000-04-16,RAINFALL,0.69,NASA,Climate,2000,4,2
2000-04-16,TEMPERATURE,19.91,NASA,Climate,2000,4,2
2000-04-17,DROUGHT_SCORE,0.3205529747820483,Derived,Climate,2000,4,2
